,State,Assembly Constituency,Winner,Winner Party,Winner Votes,Runner-up,Runner-up Party,Runner-up Votes,Margin
0,Andhra Pradesh,Araku,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,477005,KOTHAPALLI GEETHA,Bharatiya Janata Party,426425,50580
1,Andhra Pradesh,Srikakulam,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,754328,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,426427,327901
2,Andhra Pradesh,Vizianagaram,APPALANAIDU KALISETTI,Telugu Desam,743113,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,493762,249351
3,Andhra Pradesh,Visakhapatnam,SRIBHARAT MATHUKUMILI,Telugu Desam,907467,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,403220,504247
4,Andhra Pradesh,Anakapalle,C.M.RAMESH,Bharatiya Janata Party,762069,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,465539,296530
5,Andhra Pradesh,Kakinada,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party,729699,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,500208,229491
6,Andhra Pradesh,Amalapuram,G M HARISH (BALAYOGI),Telugu Desam,796981,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,454785,342196
7,Andhra Pradesh,Rajahmundry,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,726515,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,487376,239139
8,Andhra Pradesh,Narsapuram,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,707343,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,430541,276802
9,Arunachal Pradesh,Arunachal West,KIREN RIJIJU,Bharatiya Janata Party,205417,NABAM TUKI,Indian National Congress,104679,100738
10,Arunachal Pradesh,Arunachal East,TAPIR GAO,Bharatiya Janata Party,145581,BOSIRAM SIRAM,Indian National Congress,115160,30421
11,Assam,Kokrajhar,JOYANTA BASUMATARY,"United People’s Party, Liberal",488995,KAMPA BORGOYARI,Bodoland Peoples Front,437412,51583
12,Assam,Dhubri,RAKIBUL HUSSAIN,Indian National Congress,1471885,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,459409,1012476
13,Assam,Barpeta,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,860113,DEEP BAYAN,Indian National Congress,637762,222351
14,Assam,Darrang-Udalguri,DILIP SAIKIA,Bharatiya Janata Party,868387,MADHAB RAJBANGSHI,Indian National Congress,539375,329012
15,Assam,Guwahati,BIJULI KALITA  MEDHI,Bharatiya Janata Party,894887,MIRA BORTHAKUR GOSWAMI,Indian National Congress,643797,251090
16,Assam,Diphu,AMARSING TISSO,Bharatiya Janata Party,334620,J. I. KATHAR,Independent,187017,147603
17,Assam,Karimganj,KRIPANATH MALLAH,Bharatiya Janata Party,545093,HAFIZ RASHID AHMED CHOUDHURY,Indian National Congress,526733,18360
18,Assam,Silchar,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,652405,SURYA KANTA SARKAR,Indian National Congress,388094,264311
19,Assam,Nagaon,PRADYUT BORDOLOI,Indian National Congress,788850,SURESH BORAH,Bharatiya Janata Party,576619,212231
20,Bihar,Valmiki Nagar,SUNIL KUMAR,Janata Dal  (United),523422,DEEPAK YADAV,Rashtriya Janata Dal,424747,98675
21,Bihar,Paschim Champaran,DR.SANJAY JAISWAL,Bharatiya Janata Party,580421,MADAN MOHAN TIWARI,Indian National Congress,443853,136568
22,Bihar,Purvi Champaran,RADHA MOHAN SINGH,Bharatiya Janata Party,542193,DR RAJESH KUMAR,Vikassheel Insaan Party,453906,88287
23,Bihar,Sheohar,LOVELY ANAND,Janata Dal  (United),476612,RITU JAISWAL,Rashtriya Janata Dal,447469,29143
24,Bihar,Sitamarhi,DEVESH CHANDRA THAKUR,Janata Dal  (United),515719,ARJUN RAY,Rashtriya Janata Dal,464363,51356
25,Bihar,Madhubani,ASHOK KUMAR YADAV,Bharatiya Janata Party,553428,MD ALI ASHRAF FATMI,Rashtriya Janata Dal,401483,151945
26,Bihar,Jhanjharpur,RAMPRIT MANDAL,Janata Dal  (United),533032,SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,348863,184169
27,Bihar,Supaul,DILESHWAR KAMAIT,Janata Dal  (United),595038,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,425235,169803
28,Bihar,Araria,PRADEEP KUMAR SINGH,Bharatiya Janata Party,600146,SHAHNAWAZ,Rashtriya Janata Dal,580052,20094
29,Goa,North Goa,SHRIPAD YESSO NAIK,Bharatiya Janata Party,257326,RAMAKANT KHALAP,Indian National Congress,141311,116015
30,Goa,South Goa,CAPTAIN  VIRIATO FERNANDES,Indian National Congress,217836,PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party,204301,13535
31,Gujarat,Kachchh,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,659574,NITESH PARBATBHAI LALAN (MATANG),Indian National Congress,390792,268782
32,Gujarat,Banaskantha,GENIBEN NAGAJI THAKOR,Indian National Congress,671883,DR. REKHABEN HITESHBHAI CHAUDHARI,Bharatiya Janata Party,641477,30406
33,Gujarat,Patan,DABHI  BHARATSINHJI  SHANKARJI,Bharatiya Janata Party,591947,CHANDANJI TALAJI THAKOR,Indian National Congress,560071,31876
34,Gujarat,Mahesana,HARIBHAI PATEL,Bharatiya Janata Party,686406,RAMJI THAKOR,Indian National Congress,358360,328046
35,Gujarat,Sabarkantha,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,677318,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,521636,155682
36,Gujarat,Gandhinagar,AMIT SHAH,Bharatiya Janata Party,1010972,SONAL RAMANBHAI PATEL,Indian National Congress,266256,744716
37,Gujarat,Ahmedabad East,HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party,770459,HIMMATSINH PRAHLADSINH PATEL,Indian National Congress,308704,461755
38,Gujarat,Ahmedabad West,DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party,611704,BHARAT YOGENDRA MAKWANA,Indian National Congress,325267,286437
